trade_date,open,high,low,close,volume
2026-05-15,42597.6,43523.8,42461.2,42698.1,2312300
2026-05-16,43070.3,43309.5,42287.6,42512.6,1236100
2026-05-17,42559.2,42986.8,41358.5,42191.9,3311500
2026-05-18,41948.4,43000.5,41336.1,42172.3,3911700
2026-05-19,43064.5,43260.2,42480.9,42791.5,4336600
2026-05-20,43660.1,44184.8,43008.6,43606.3,4755500
2026-05-21,43617.8,44521.8,43448.9,44037.9,4050800
2026-05-22,44650.8,45376.9,44084.7,44563.6,2995800
2026-05-23,44602.8,45291.8,43972.1,44807.2,1487600
2026-05-24,44662.0,45709.0,44318.2,44942.8,2060900
2026-05-25,44664.5,45320.6,44366.9,44770.4,947700
2026-05-26,43983.9,45250.4,43758.8,44448.0,2189600
2026-05-27,44834.5,45456.9,44547.0,44795.6,2324100
2026-05-28,45079.4,45696.2,44912.7,45166.2,4485200
2026-05-29,43476.1,44930.0,43423.0,44295.3,3042000
2026-05-30,43824.8,43870.8,43034.8,43511.8,2095100
2026-05-31,43566.4,43716.0,42966.0,43196.2,1731100
2026-06-01,43100.4,44090.3,42867.3,43646.7,4209200
2026-06-02,44077.6,44338.0,42947.4,43600.9,3307900
2026-06-03,44389.6,44983.0,43951.2,44457.0,2616800
2026-06-04,45423.4,45979.3,44747.1,45227.3,4395000
2026-06-05,45329.3,45574.6,44524.7,45247.1,2695100
2026-06-06,45249.0,45505.7,44258.9,45010.2,1147400
2026-06-07,45679.4,45721.3,44859.6,45175.8,4144800
2026-06-08,45772.8,46353.0,45080.0,45689.8,2126500
2026-06-09,46565.7,46594.8,45012.6,45760.2,4437600
2026-06-10,44786.0,45368.6,44313.4,45006.7,921300
2026-06-11,44385.9,45252.7,44311.6,44829.8,3766100
2026-06-12,45651.1,46233.0,45178.5,45581.2,2223300
2026-06-13,45553.4,46091.2,44819.3,45368.5,4060500
2026-06-14,45382.4,45934.9,44991.4,45688.6,965300
2026-06-15,46547.5,47114.1,45732.0,46374.2,858100
2026-06-16,46027.2,46530.2,45295.3,45913.1,1438100
2026-06-17,45186.0,46321.4,44766.0,45666.4,2410000
2026-06-18,45278.7,46133.3,45002.7,45517.4,3984500
2026-06-19,45805.5,45929.1,44596.1,45435.0,1977700
2026-06-20,45207.0,45222.2,44295.2,44931.2,3641700
2026-06-21,43386.1,44791.9,43363.9,44136.2,2389800
2026-06-22,44254.3,44867.4,43774.6,44184.2,4306100
2026-06-23,43293.9,44002.2,42944.9,43340.1,3764000
2026-06-24,44206.8,44843.9,43862.0,44202.5,4205600
2026-06-25,44558.1,45339.5,44222.0,44906.3,500600
2026-06-26,45100.7,45235.2,43840.0,44571.9,4800900
2026-06-27,45496.3,45501.9,44621.6,44999.7,2505500
2026-06-28,44034.9,44438.7,43895.7,44130.2,697100
2026-06-29,43750.6,44219.6,43356.2,43783.5,1040000
2026-06-30,44197.7,44674.4,43834.9,44088.0,3479800
2026-07-01,43744.0,44584.9,43346.7,43901.9,4029900
2026-07-02,43357.3,44370.4,42689.0,43558.3,1029500
2026-07-03,42977.0,43384.3,42496.7,42801.0,4127500
2026-07-04,43562.8,43760.0,42518.1,43318.8,1783400
2026-07-05,42411.3,43578.1,42165.8,42817.0,2960400
2026-07-06,43122.7,43433.4,42584.9,43151.6,4688200
2026-07-07,43143.8,43530.1,42091.8,42928.0,3618400
2026-07-08,42504.7,43001.5,41986.8,42393.7,2951600
2026-07-09,43171.8,43198.1,42191.6,42509.2,2881200
2026-07-10,43211.6,43578.4,42361.1,42945.5,2930600
2026-07-11,43900.5,44483.1,43439.4,43779.1,4942700
2026-07-12,44066.4,44894.3,43891.6,44514.3,3279400
2026-07-13,44724.1,46194.3,44432.6,45305.9,4887400
2026-07-14,45313.3,45855.2,44717.5,45565.0,3137500
2026-07-15,44013.3,45391.1,43972.0,44763.9,2228300
2026-07-16,44522.2,45473.1,44426.3,44690.2,4676000
2026-07-17,45116.9,45727.8,44816.7,45141.1,1098300
2026-07-18,45064.4,45435.2,44199.8,45044.6,2084000
2026-07-19,45053.9,45407.2,44161.9,44849.0,903100
2026-07-20,45559.5,46021.4,44796.4,45596.7,2558500
2026-07-21,45964.2,46670.0,45751.5,46415.2,3390100
